question,answer
"Can you tell me, ""Which planet is known as the 'Red Planet'""?",Mars
"Do you know, ""Which gas do plants absorb""?",Carbon dioxide
"Can you tell me, ""What does 'CPU' stand for""?",Central Processing Unit
"Hey, what about this: ""Who wrote 'Harry Potter'""?",J K Rowling
"Do you know, ""What does 'GPU' stand for""?",Graphics Processing Unit
"Quick question: ""Which gas do humans breathe""?",Oxygen
"I was wondering, ""What is 'RAM'""?",Computer memory
"Can you tell me, ""What is the largest ocean""?",Pacific Ocean
"Quick question: ""Which metal is liquid at room temperature""?",Mercury
"Quick question: ""What is 'ML' short for""?",Machine Learning
"Hey, what about this: ""Which fruit is yellow""?",Banana
"Hey, what about this: ""Which instrument measures temperature""?",Thermometer
"""Which animal is the largest on Earth"" — do you know?",Blue Whale
"""What is the largest ocean"" — do you know?",Pacific Ocean
"""Which organ pumps blood"" — do you know?",Heart
"Can you tell me, ""Who wrote 'Hamlet'""?",William Shakespeare
"Do you know, ""What is the main language of Brazil""?",Portuguese
"""Who painted the 'Mona Lisa'"" — do you know?",Leonardo da Vinci
"Do you know, ""Which country is known as the 'Land of Rising Sun'""?",Japan
"Quick question: ""Which animal is called the 'King of Jungle'""?",Lion
"Can you tell me, ""Which fruit is yellow""?",Banana
"Can you tell me, ""Who invented the 'light bulb'""?",Thomas Edison
"Quick question: ""Who discovered 'penicillin'""?",Alexander Fleming
"I was wondering, ""Who wrote 'Harry Potter'""?",J K Rowling
"""What is the national animal of Bangladesh"" — do you know?",Royal Bengal Tiger
"Hey, what about this: ""Which gas do plants absorb""?",Carbon dioxide
"I was wondering, ""What is 'JSON' used for""?",Data exchange
"Can you tell me, ""Who discovered 'gravity'""?",Isaac Newton
"I was wondering, ""Who invented the 'airplane'""?",Wright Brothers
"Do you know, ""Who invented the 'light bulb'""?",Thomas Edison
"Can you tell me, ""Which gas do humans breathe""?",Oxygen
"Hey, what about this: ""What is 'H2O' commonly called""?",Water
"Quick question: ""What does 'GPU' stand for""?",Graphics Processing Unit
"Hey, what about this: ""Who discovered 'gravity'""?",Isaac Newton
"Can you tell me, ""What is a 'URL'""?",Web address
"I was wondering, ""What does 'API' mean""?",Application Programming Interface
"Can you tell me, ""What is 'RAM'""?",Computer memory
"Can you tell me, ""What is 'AI' short for""?",Artificial Intelligence
"Quick question: ""Who wrote 'Harry Potter'""?",J K Rowling
"Hey, what about this: ""Who discovered 'penicillin'""?",Alexander Fleming
"Do you know, ""What is 'H2O' commonly called""?",Water
"Do you know, ""What is 'ML' short for""?",Machine Learning
"I was wondering, ""What is 'NLP' short for""?",Natural Language Processing
"Do you know, ""Which bird cannot fly""?",Ostrich
"Do you know, ""Which metal is liquid at room temperature""?",Mercury
"""Which planet is known as the 'Red Planet'"" — do you know?",Mars
"Hey, what about this: ""Which animal is the largest on Earth""?",Blue Whale
"""Which bird cannot fly"" — do you know?",Ostrich
"Can you tell me, ""What is 'ML' short for""?",Machine Learning
"I was wondering, ""What does 'CPU' stand for""?",Central Processing Unit
"Do you know, ""What is the main religion in Saudi Arabia""?",Islam
"Do you know, ""Who wrote 'Hamlet'""?",William Shakespeare
"Can you tell me, ""What is 'H2O' commonly called""?",Water
"I was wondering, ""Who wrote 'Hamlet'""?",William Shakespeare
"Hey, what about this: ""Which planet is known as the 'Red Planet'""?",Mars
"""Who invented the 'light bulb'"" — do you know?",Thomas Edison
"Quick question: ""What is the largest ocean""?",Pacific Ocean
"Hey, what about this: ""Who painted the 'Mona Lisa'""?",Leonardo da Vinci
"I was wondering, ""What is 'ML' short for""?",Machine Learning
"Hey, what about this: ""What does 'HTTP' stand for""?",HyperText Transfer Protocol
"Hey, what about this: ""Who invented the 'telephone'""?",Alexander Graham Bell
"""Which country is known as the 'Land of Rising Sun'"" — do you know?",Japan
"Quick question: ""Which country is known as the 'Land of Rising Sun'""?",Japan
"Do you know, ""Who wrote 'Harry Potter'""?",J K Rowling
"Hey, what about this: ""What is 'RAM'""?",Computer memory
"Quick question: ""Who invented the 'telephone'""?",Alexander Graham Bell
"Quick question: ""Which organ pumps blood""?",Heart
"Hey, what about this: ""What does 'CPU' stand for""?",Central Processing Unit
"Can you tell me, ""Which instrument measures pressure""?",Barometer
"I was wondering, ""Which country is known as the 'Land of Rising Sun'""?",Japan
"Can you tell me, ""Which bird cannot fly""?",Ostrich
"I was wondering, ""What is 'H2O' commonly called""?",Water
"I was wondering, ""Which planet is known as the 'Red Planet'""?",Mars
"Can you tell me, ""What is the main religion in Saudi Arabia""?",Islam
"Quick question: ""Which animal is known for loyalty""?",Dog
